 *  Executing task: platformio device monitor 

--- Terminal on /dev/cu.usbserial-10 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
76045 00:00:00.000 R 15fd0800 db 00 00 cf 71 ff ff ff
76223 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
76224 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
76224 00:00:00.000 R 0df80500 db ac 4d a0 99 d6 17 00 00 dd 6d d9 89 09 07 00 50 08 92 34 05 b9 ff e0 e2 65 ff ff ff ff ff 20 fc 09 82 00 ff 7f ff ff ff 7f ff
76247 00:00:00.000 R 15fd0600 db cf 71 ff ff ff ff ff
76248 00:00:00.000 R 15fd0700 db 00 cf 71 ff 7f ff ff
76248 00:00:00.000 R 0df01000 db f0 ac 4d a0 99 d6 17
76259 00:00:00.000 R 09f80200 db fc 0f 7e 00 00 ff ff
76261 00:00:00.000 R 09f80200 dc fd 21 7e 00 00 ff ff
76438 00:00:00.000 R 09f11200 de ff ff ff 7f f0 ff fc
76439 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
76439 00:00:00.000 R 09fd0202 4e a5 02 75 3d fa ff ff
76452 00:00:00.000 R 09f80200 de fc 0f 7e 00 00 ff ff
76454 00:00:00.000 R 09f80200 df fd 21 7e 00 00 ff ff
76455 00:00:00.000 R 09f11200 df ff ff ff 7f f0 ff fc
76641 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
76642 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
76643 00:00:00.000 R 19f21420 00 ea 04 0c 00 80 70 00
76655 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
76655 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
76656 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
76667 00:00:00.000 R 19f21420 00 ea 04 0c 00 80 70 00
76872 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
76873 00:00:00.000 R 15fd0600 e0 cf 71 ff ff ff ff ff
76884 00:00:00.000 R 15fd0700 e0 00 cf 71 ff 7f ff ff
76884 00:00:00.000 R 15fd0c23 ff 00 00 1e 72 04 ff ff
76895 00:00:00.000 R 09f80200 e0 fc 0f 7e 00 00 ff ff
76897 00:00:00.000 R 09f80200 e1 fd 21 7e 00 00 ff ff
77063 00:00:00.000 R 09f80200 e3 fc 0f 7e 00 00 ff ff
77065 00:00:00.000 R 09f80200 e4 fd 21 7e 00 00 ff ff
77067 00:00:00.000 R 09f11200 e4 ff ff ff 7f f0 ff fc
77067 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
77078 00:00:00.000 R 09fd0202 54 91 02 61 3a fa ff ff
77081 00:00:00.000 R 09f11200 e5 ff ff ff 7f f0 ff fc
77264 00:00:00.000 R 19fa0300 e6 ff 82 00 ff 7f ff 7f
77265 00:00:00.000 R 0df80900 ac 4d e0 35 d7 17 ff 7f
77265 00:00:00.000 R 09f11200 e6 ff ff ff 7f f0 ff fc
77276 00:00:00.000 R 0df90300 e6 f0 ff ff ff 7f ff ff
77276 00:00:00.000 R 0df50b00 e6 71 01 00 00 00 00 ff
77288 00:00:00.000 R 09f50300 e6 00 00 ff ff ff ff ff
77289 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
77289 00:00:00.000 R 09fd0202 57 6d 02 6c 3b fa ff ff
77302 00:00:00.000 R 09f11200 e8 ff ff ff 7f f0 ff fc
77302 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
77369 00:00:00.000 R 09fd0202 58 63 02 17 3b fa ff ff
77484 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
77486 00:00:00.000 R 09f80200 e8 fc 0f 7e 00 00 ff ff
